customer_id,province_id,cust_first_name,cust_last_name
39,12,Juan,Navarro
125,9,Isabella,Navarro
126,14,Jose,Mendoza
127,1,Teresa,Dela Cruz
128,12,Marco,Ortega
129,13,Sofia,Domingo
40,15,Victor,Gutierrez
130,15,Carlos,Gutierrez
131,6,Daniel,Reyes
51,2,Miguel,Gutierrez
132,5,Marco,Santos
133,3,Marco,Villanueva
134,3,Jose,Ortega
135,14,Elena,Reyes
136,4,Victor,Santos
63,15,Ana,Castro
137,6,Angela,Santos
138,14,Jose,Reyes
139,1,Paolo,Aquino
132,8,Marco,Santos
140,10,Luis,Pascual
141,1,Andres,Lim
129,5,Sofia,Domingo
135,13,Elena,Reyes
142,7,Juan,Flores
42,3,Maria,Dela Cruz
143,7,Jose,Aquino
144,13,Luis,Garcia
41,12,Miguel,Santos
145,10,Ana,Gutierrez
100,12,Luis,Santos
80,2,Isabella,Santos
50,7,Paolo,Lim
146,12,Marco,Garcia
40,2,Victor,Gutierrez
147,7,Maria,Domingo
14,14,Isabella,Domingo
43,7,Diego,Garcia
148,4,Andres,Pascual
115,3,Isabella,Mendoza
37,11,Carlos,Pascual
149,5,Andres,Santos
23,1,Ana,Pascual
90,12,Paolo,Flores
57,5,Maria,Mendoza
150,6,Angela,Garcia
139,11,Paolo,Aquino
57,11,Maria,Mendoza
151,9,Clara,Domingo
152,6,Jose,Lim
78,15,Isabella,Pascual
61,8,Carlos,Santos
60,6,Angela,Castro
26,10,Victor,Aquino
42,1,Maria,Dela Cruz
39,4,Juan,Navarro
115,11,Isabella,Mendoza
153,11,Teresa,Lim
49,3,Ana,Navarro
154,11,Miguel,Flores
7,15,Maria,Castro
155,6,Carlos,Aquino
156,7,Victor,Ortega
61,3,Carlos,Santos
157,12,Luis,Flores
59,9,Diego,Reyes
144,2,Luis,Garcia
158,8,Juan,Lim
159,9,Isabella,Ortega
29,2,Elena,Aquino
160,14,Paolo,Pascual
151,12,Clara,Domingo
52,11,Miguel,Navarro
9,15,Victor,Castro
161,2,Victor,Navarro
33,9,Jose,Domingo
162,8,Daniel,Castro
132,3,Marco,Santos
163,7,Angela,Pascual
151,15,Clara,Domingo
110,4,Luis,Dela Cruz
78,4,Isabella,Pascual
164,8,Teresa,Mendoza
129,10,Sofia,Domingo
165,3,Teresa,Reyes
166,10,Andres,Gutierrez
102,3,Clara,Dela Cruz
114,8,Daniel,Mendoza
167,8,Daniel,Navarro
168,10,Jose,Garcia
122,7,Jose,Pascual
145,12,Ana,Gutierrez
169,3,Juan,Gutierrez
170,5,Andres,Navarro
55,7,Elena,Flores
97,15,Isabella,Garcia
171,14,Daniel,Domingo
107,10,Andres,Aquino
157,2,Luis,Flores
141,4,Andres,Lim
108,9,Miguel,Reyes
111,11,Jose,Gutierrez
172,14,Andres,Dela Cruz
45,2,Maria,Villanueva
29,15,Elena,Aquino
173,6,Clara,Ortega
149,11,Andres,Santos
2,9,Teresa,Ortega
174,12,Daniel,Gutierrez
154,7,Miguel,Flores
95,7,Diego,Gutierrez
129,2,Sofia,Domingo
3,6,Sofia,Dela Cruz
175,8,Andres,Castro
176,1,Carlos,Navarro
177,15,Marco,Navarro
3,7,Sofia,Dela Cruz
23,14,Ana,Pascual
89,15,Andres,Reyes
87,6,Diego,Pascual
178,7,Miguel,Mendoza
11,6,Clara,Navarro
52,14,Miguel,Navarro
72,12,Elena,Villanueva
179,15,Clara,Aquino
180,1,Maria,Gutierrez
181,5,Miguel,Villanueva
182,4,Sofia,Garcia
101,7,Clara,Reyes
183,15,Maria,Ortega
38,7,Miguel,Castro
148,9,Andres,Pascual
184,8,Diego,Castro
2,5,Teresa,Ortega
185,1,Angela,Reyes
28,11,Teresa,Garcia
186,14,Miguel,Pascual
187,8,Daniel,Flores
153,6,Teresa,Lim
160,8,Paolo,Pascual
84,5,Rafael,Villanueva
188,4,Paolo,Navarro
162,12,Daniel,Castro
52,3,Miguel,Navarro
97,12,Isabella,Garcia
48,13,Clara,Flores
83,9,Jose,Flores
161,7,Victor,Navarro
171,6,Daniel,Domingo
9,8,Victor,Castro
169,14,Juan,Gutierrez
50,14,Paolo,Lim
158,4,Juan,Lim
189,7,Juan,Aquino
145,9,Ana,Gutierrez
112,2,Marco,Mendoza
52,8,Miguel,Navarro
190,5,Luis,Navarro
30,4,Isabella,Gutierrez
166,9,Andres,Gutierrez
150,11,Angela,Garcia
191,14,Luis,Reyes
84,3,Rafael,Villanueva
181,14,Miguel,Villanueva
28,1,Teresa,Garcia
175,5,Andres,Castro
190,15,Luis,Navarro
42,4,Maria,Dela Cruz
192,13,Carlos,Lim
193,15,Andres,Mendoza
174,1,Daniel,Gutierrez
194,13,Victor,Villanueva
195,13,Daniel,Aquino
15,7,Paolo,Mendoza
143,1,Jose,Aquino
196,10,Miguel,Dela Cruz
124,10,Andres,Garcia
197,13,Angela,Lim
35,3,Ana,Domingo
120,15,Paolo,Ortega
198,7,Elena,Santos
159,14,Isabella,Ortega
136,7,Victor,Santos
199,14,Elena,Gutierrez
200,5,Miguel,Aquino
16,11,Maria,Aquino
201,7,Rafael,Reyes
202,14,Luis,Domingo
131,1,Daniel,Reyes
56,3,Teresa,Flores
80,8,Isabella,Santos
103,1,Clara,Castro
90,1,Paolo,Flores
70,2,Ana,Mendoza
10,12,Diego,Ortega
203,15,Carlos,Ortega
204,12,Elena,Mendoza
13,9,Marco,Flores
102,8,Clara,Dela Cruz
172,11,Andres,Dela Cruz
159,6,Isabella,Ortega
81,4,Isabella,Castro
205,14,Angela,Aquino
206,8,Teresa,Aquino
207,1,Paolo,Domingo
35,13,Ana,Domingo
208,13,Isabella,Dela Cruz
209,10,Juan,Garcia
210,9,Carlos,Garcia
26,15,Victor,Aquino
86,14,Victor,Reyes
61,4,Carlos,Santos
94,7,Clara,Villanueva
76,12,Maria,Reyes
211,4,Ana,Ortega
70,15,Ana,Mendoza
53,2,Rafael,Garcia
212,10,Luis,Villanueva
213,1,Juan,Villanueva
214,12,Clara,Lim
23,5,Ana,Pascual
215,15,Angela,Navarro
11,12,Clara,Navarro
